Id,Prediction
984121344,0
601849857,0
351429761,0
2792643764,0
215056389,0
248807431,1
61931528,0
2513463980,1
102137866,1
298385420,1
265519119,1
391413781,0
2962522134,0
1683980311,0
103055384,1
314966047,1
304021536,1
549781537,1
26017826,1
23068708,1
2954690598,0
262111271,1
33423401,1
14188586,0
526024747,0
358842416,1
635171054,0
1245380660,0
19464245,1
32823,1
2886074424,0
118489145,1
2735898682,0
2352595372,1
529842945,0
17563658,0
381157439,1
333709376,1
2797862977,0
595787842,1
584187972,0
294420549,0
39518278,1
627933255,0
285303238,0
221577294,0
344219912,0
2989113358,0
508133463,0
2989391961,0
20054106,1
557908060,1
29873509,0
21692512,1
535068770,0
470870715,0
332267622,1
558071911,0
1123013988,0
2887975018,0
714200423,0
85852268,1
92203768,0
384663662,1
78512239,1
2972614768,0
1102681448,0
2769092723,0
2371354741,0
92635254,1
2718400631,0
150274168,0
1430568980,0
76021883,1
170360957,1
772767870,0
1591343383,0
2828763265,1
280100994,1
409763972,1
107217029,0
1307934854,0
282689671,1
543959648,0
263028876,1
209125517,0
200147086,0
14778512,1
125599889,1
18645138,0
273744020,1
24384878,1
1638465686,0
2344419479,0
20709528,1
14385307,1
26280094,1
322804369,0
2186248352,1
1051948171,0
2199486627,1
1350008996,0
421407430,0
1688273064,1
298188969,1
248873132,0
346259629,0
375947443,0
283803829,0
717291702,1
2988649161,0
2366210234,0
84443323,0
1527906492,0
78293706,0
288489663,1
2266759362,1
170754243,1
770577782,0
1676640289,1
83099849,0
25788618,1
2905735202,0
218366158,0
347865297,0
1498529827,0
390889684,0
14614742,0
267518167,1
265715929,0
359629018,1
2608278223,0
23232732,1
1619394781,1
184908108,0
414546608,0
285289168,1
1081278690,0
2315780323,0
138543333,1
627572968,1
14709212,1
33194218,1
160956651,0
234815724,1
2724440786,0
2878144750,0
2183135473,0
339280116,0
2849243381,0
1915977974,1
1374388472,0
383527636,0
62816508,1
71352362,1
1560150270,1
133136639,0
2306834688,1
54165761,1
56099074,1
1726237616,0
1365999876,0
2325523158,0
2986213641,0
368935178,0
547149366,0
74875149,1
864190735,0
2246541584,1
187433237,0
424946393,1
1645838616,1
32080153,0
949518618,0
1531587290,0
139231519,1
22413603,1
369295652,1
1959395622,1
2368300015,0
2985492777,0
17400106,1
2989814891,0
253985070,1
369328434,0
710902068,1
2665051388,0
369197366,1
625606970,0
44794171,1
1693516094,1
146145599,1
712409408,0
132186433,1
26181955,1
2990965060,1
256311622,1
80130421,0
2993160520,1
281264183,1
398229837,0
35258703,0
63930704,1
49348945,1
240419154,1
32863535,0
364642644,1
428474709,0
1894056278,1
2911895609,0
72188248,0
1795173092,0
262275418,0
136872284,1
292388922,0
111083872,0
250193955,0
259916130,1
124879204,1
307757413,0
383636881,0
1854472555,1
1487307116,0
920060269,0
566147035,0
110559599,1
20840816,1
1245092215,0
435421559,0
2453307768,1
375193977,1
2974843258,0
184779135,0
305922432,0
23691649,1
2403560171,0
504660357,0
1911128454,0
885916040,0
19464587,1
1242268044,1
1970700686,0
256049551,0
38859575,0
1234741998,0
2732753302,0
411063705,0
190120345,1
558203290,0
604832156,0
26018207,1
1614884588,0
1117946274,0
476250533,0
117375398,1
423930609,0
376242600,1
1379631529,0
178717098,1
861209004,0
247628206,0
2486993327,0
164397490,1
742949300,0
1713076411,1
17826232,1
2403402169,0
2896822714,0
739279292,1
1715012029,0
24117694,1
79987137,1
25330115,1
173801925,1
2583757254,0
1700004295,0
19136969,1
281668343,0
289571277,1
2987885007,0
1062087416,0
51675603,1
114426325,0
1090224602,0
198935003,1
596929274,0
38568414,0
43308453,1
937525728,1
20889680,1
606765538,0
497418723,1
301651366,0
271778278,0
18186728,1
211517029,0
1468170732,1
29131245,1
1494614510,0
48552876,0
30474737,1
2156134901,1
68157942,0
702524114,0
207946233,1
18448890,1
2722234875,0
2988275765,0
567542270,1
19071487,1
83165698,1
1236992515,0
139985412,1
1470069744,0
268009990,0
2847572487,1
1628733960,0
2988692908,0
276431373,1
19137039,1
456336656,0
2819621394,0
609583635,0
42762772,0
15685038,1
395755609,1
2161476120,0
105251354,1
453476892,0
2414117406,1
355009056,0
1318213040,0
128320034,0
33669211,0
446726692,0
2573789958,0
169345576,1
233833001,1
579371562,0
307200555,0
2148991532,0
55706157,0
834110000,1
